title,extra
"Senior System Software Test Engineer, Networking",Visa feed increased
Software Quality Assurance Engineer / Contractor,Company will not sponsor work visa
Software Automation/Test Engineer (Cortex Cloud),For citizens only
Senior Software Test Engineer,Lost chance at H-1B lottery
Sr. SDET/Sr. QA Engineer,Requires security clearance
Software Quality Assurance Engineer,Visa process taking longer
Thermal SQA Enginee,Foreign degrees are not valid
"Sr.  Staff Engineer, CPU Software Test Engineer (Server)",AI generated posting
"Staff Engineer, CPU Software Test Engineer (Server) - San Diego/Santa Clara",No visa appointments until next year
"Staff Engineer, CPU Software Test Engineer (Server)",Recruiting process taking more than 2 months
"SDET, Software Development Engineer in Test Graduate (TikTok Eng - Testing) - 2026 Start (BS/MS)",Not European/Australian
Staff Software Test Engineer,Resume did not pass ATS filters
Software Test Automation Engineer,3-month contract only
Software Quality Assurance Engineer,6-month contract only
Principal Software Test Engineer (Prisma Access),Overqualified for position
"Staff Software QA Engineer - Santa Clara, US - Hybrid",Visa feed increased
"Staff Engineer, Software, Test",Company will not sponsor work visa
"Senior Software Test Development Engineer, SDET - Deep Learning",For citizens only
Principal Engineer,Lost chance at H-1B lottery
"Senior System Software Test Engineer, Networking",Requires security clearance
Senior Software SDET Test Development Engineer,Visa process taking longer
Senior Software Test Engineer,Foreign degrees are not valid
QA Automation Engineer,AI generated posting
Software QA Test Dev Engineer,No visa appointments until next year
Senior Software QA Engineer,Recruiting process taking more than 2 months
Software QA Engineer,Not European/Australian
Software Quality Assurance Engineer Remote,Resume did not pass ATS filters
Software QA Engineer,3-month contract only
Quality Assurance Engineer I,6-month contract only
Quality Assurance Engineer,Overqualified for position
Sr. Software QA Engineer,Visa feed increased
Software Quality Assurance Engineer / Contractor,Company will not sponsor work visa
Software Quality Engineer - Payment Solutions,For citizens only
Sr. SDET/Sr. QA Engineer,Lost chance at H-1B lottery
QA Engineer,Requires security clearance
Test / QA Engineer,Visa process taking longer
Quality Assurance Engineer,Foreign degrees are not valid
QA Automation Engineer-Nexus HyperFabric - SaaS Team,AI generated posting
Quality Assurance Engineer,No visa appointments until next year
QA Engineer - Automation Specialist,Recruiting process taking more than 2 months
Software Development Test Engineer,Not European/Australian
Software QA Test Dev Engineer,Resume did not pass ATS filters
Software Test Engineer - Mobile/SASE Client,3-month contract only
Software Quality Assurance Engineer Remote,6-month contract only
Software Test Engineer - Analytics,Overqualified for position
"Staff Software QA Engineer - Santa Clara, US - Hybrid",All clear!
Lead QA Engineer,All clear!
